"Protein Group","Top","Accession","Significance","Coverage (%)","#Peptides","#Unique","PTM","SepWT_3 Area","SepWT_2 Area","SepWT_1 Area","SepDel_1 Area","SepDel_2 Area","SepDel_3 Area","SepComp_1 Area","SepComp_2 Area","SepComp_3 Area","Sample Profile (Ratio)","WT Area","Del Area","Comp Area","Group Profile (Ratio)","Avg. Mass","Description"
1761,true,"MMAR_2047|MMAR_2047|exported",2.31,27.42,3,3,"Deamidation (NQ)",280.59393,558.5443,317.5041,579.8472,334.0939,452.7615,384.76807,345.29633,344.90875,0.88:1.76:1.00:1.83:1.05:1.43:1.21:1.09:1.09,385.54745,455.56757,358.32437,1.00:1.18:0.93,19721,"alanine and valine rich protein|187 AA"
891,true,"MMAR_4273|MMAR_4273|aminotransferase|366",34.01,30.41,9,7,"Carbamidomethylation; Deamidation (NQ)",4227.415,4465.5156,4325.9746,7211.5117,5626.178,4428.9683,2120.5303,1647.2043,1520.2664,0.98:1.03:1.00:1.67:1.30:1.02:0.49:0.38:0.35,4339.6353,5755.5527,1762.667,1.00:1.33:0.41,38319,"AA"
336,true,"MMAR_1253|sseA|thiosulfate",43.33,68.44,19,17,"Carbamidomethylation; Deamidation (NQ); Oxidation (M)",30159.07,33055.65,25718.225,34610.4,36635.54,34809.586,14247.729,15565.363,16246.259,1.17:1.29:1.00:1.35:1.42:1.35:0.55:0.61:0.63,29644.314,35351.84,15353.117,1.00:1.19:0.52,33293,"sulfurtransferase SseA |302 AA"
3034,true,"MMAR_5569|rnpA|ribonuclease",44.43,9.17,1,1,"",288.72137,360.35565,334.39114,469.24118,479.7873,447.21277,171.81024,193.6098,202.33237,0.86:1.08:1.00:1.40:1.43:1.34:0.51:0.58:0.61,327.8227,465.41376,189.2508,1.00:1.42:0.58,13525,"P protein component RnpA|121 AA"
717,true,"MMAR_5474|MMAR_5474|conserved",49.37,11.69,11,10,"Acetylation (Protein N-term); Deamidation (NQ)",1870.1307,2234.7485,2389.009,3345.4521,3630.8726,4140.4673,806.6657,899.94226,966.50256,0.78:0.94:1.00:1.40:1.52:1.73:0.34:0.38:0.40,2164.6294,3705.5974,891.03687,1.00:1.71:0.41,122322,"transmembrane protein|1181 AA"
355,true,"#CONTAM#cont|000141|",44.54,34.20,6,5,"Carbamidomethylation; Deamidation (NQ); Oxidation (M)",310226.84,321431.78,298940.22,300353.56,325774.1,340293.06,160924.83,180508.05,187422.42,1.04:1.08:1.00:1.00:1.09:1.14:0.54:0.60:0.63,310199.62,322140.25,176285.1,1.00:1.04:0.57,24409,"spt|P00761| Trypsin precursor (EC 3.4.21.4) [Sus scrofa (contaminant)]"
1712,true,"MMAR_4359|MMAR_4359|cholesterol",19.08,12.91,3,3,"",848.05615,624.1801,589.79645,822.78235,841.83,723.6655,518.7537,328.11768,438.74844,1.44:1.06:1.00:1.40:1.43:1.23:0.88:0.56:0.74,712.06793,796.0926,464.31976,1.00:1.12:0.65,39954,"dehydrogenase|365 AA"
1437,true,"#CONTAM#cont|000127|",6.44,4.44,8,2,"Carbamidomethylation",326.08856,859.57874,544.5067,447.9109,1736.6298,1483.5845,519.83746,579.6311,370.60925,0.60:1.58:1.00:0.82:3.19:2.72:0.95:1.06:0.68,576.7247,1222.7084,490.02594,1.00:2.12:0.85,60092,"spt|P48668| Keratin, type II cytoskeletal 6E (Cytokeratin 6E) (CK 6E) (K6e keratin) [Homo sapiens (contaminant)]"
1179,true,"MMAR_0548|espG3|conserved",17.08,23.83,7,6,"Carbamidomethylation; Deamidation (NQ); Oxidation (M)",2133.0107,1980.241,1968.113,2338.895,2398.694,3634.2717,795.09424,1577.3811,1364.9623,1.08:1.01:1.00:1.19:1.22:1.85:0.40:0.80:0.69,2027.1216,2790.6204,1245.8125,1.00:1.38:0.61,32032,"protein|299 AA"
1464,true,"MMAR_5189|MMAR_5189|thiamine-monophosphate",25.68,20.71,6,5,"Pyro-glu from Q",1422.249,1608.437,851.3352,3374.2605,2983.43,3060.5671,1062.6992,1127.3718,1436.3777,1.67:1.89:1.00:3.96:3.50:3.60:1.25:1.32:1.69,1294.0071,3139.4192,1208.8163,1.00:2.43:0.93,34565,"kinase |339 AA"
2325,true,"MMAR_4680|MMAR_4680|conserved",16.95,7.14,1,1,"",209.3913,271.56085,300.6358,228.2085,268.48932,196.42079,169.08513,168.8337,153.40968,0.70:0.90:1.00:0.76:0.89:0.65:0.56:0.56:0.51,260.52933,231.03954,163.77617,1.00:0.89:0.63,17192,"hypothetical protein|155 AA"
681,true,"MMAR_2679|eccE5|conserved",55.29,34.49,13,10,"Deamidation (NQ); Oxidation (M)",5849.63,5229.2227,5503.3926,14796.758,13362.979,12145.264,3396.3738,3913.3652,3844.0266,1.06:0.95:1.00:2.69:2.43:2.21:0.62:0.71:0.70,5527.415,13435.0,3717.9219,1.00:2.43:0.67,43961,"membrane protein|404 AA"
1199,true,"MMAR_0127|adhD_1|zinc-containing",40.89,20.60,8,7,"Deamidation (NQ)",3010.6582,3854.3706,3319.966,4357.9253,4708.1445,4929.346,1534.9583,1803.0016,1315.8604,0.91:1.16:1.00:1.31:1.42:1.48:0.46:0.54:0.40,3394.9983,4665.1387,1583.7512,1.00:1.37:0.47,38725,"alcohol dehydrogenase NAD-dependent, AdhD_1|370 AA"
268,true,"MMAR_1012|rpsG|30S",67.06,75.64,24,19,"Deamidation (NQ); Oxidation (M)",126113.11,133378.52,135908.19,177841.55,167456.8,175276.19,81472.83,79402.445,79970.69,0.93:0.98:1.00:1.31:1.23:1.29:0.60:0.58:0.59,131799.94,173524.84,80281.984,1.00:1.32:0.61,17600,"ribosomal protein S7, RpsG|157 AA"
63,true,"MMAR_3772|valS|valyl-tRNA",96.16,39.84,37,34,"Acetylation (Protein N-term); Carbamidomethylation; Deamidation (NQ); Oxidation (M); Pyro-glu from E",12243.52,12003.056,12532.94,15066.07,14873.329,15045.5,5505.3945,5469.3677,5475.3184,0.98:0.96:1.00:1.20:1.19:1.20:0.44:0.44:0.44,12259.839,14994.967,5483.3604,1.00:1.22:0.45,98255,"synthetase protein ValS |887 AA"
2119,true,"MMAR_4326|MMAR_4326|short-chain",10.20,5.71,1,1,"Oxidation (M)",3598.3162,3641.3157,301.81644,720.8241,687.0345,631.2321,4235.8403,4245.74,3919.667,11.92:12.06:1.00:2.39:2.28:2.09:14.03:14.07:12.99,2513.8162,679.6969,4133.749,1.00:0.27:1.64,29645,"type dehydrogenase/reductase|281 AA"
1059,true,"MMAR_3238|qcrC|ubiquinol-cytochrome",47.15,14.62,3,3,"Deamidation (NQ); Oxidation (M)",957.3312,831.2711,1146.4476,2483.5085,2533.8628,2506.0837,592.441,504.92517,665.33563,0.84:0.73:1.00:2.17:2.21:2.19:0.52:0.44:0.58,978.35004,2507.8184,587.56726,1.00:2.56:0.60,31510,"C reductase QcrC |302 AA"
503,true,"MMAR_4098|prfA|peptide",31.56,50.42,17,15,"Acetylation (Protein N-term); Carbamidomethylation; Deamidation (NQ); Oxidation (M)",6124.9277,5954.659,9309.13,10185.055,10672.57,9815.6,3767.4065,4208.581,3732.8503,0.66:0.64:1.00:1.09:1.15:1.05:0.40:0.45:0.40,7129.5723,10224.408,3902.946,1.00:1.43:0.55,39030,"chain release factor 1 PrfA |358 AA"
1036,true,"MMAR_1740|rpmB2_1|50S",46.16,54.69,8,7,"Carbamidomethylation",20956.531,24084.42,22428.57,26103.781,28255.133,28921.191,15619.127,14964.409,15225.365,0.93:1.07:1.00:1.16:1.26:1.29:0.70:0.67:0.68,22489.84,27760.035,15269.634,1.00:1.23:0.68,6881,"ribosomal protein L28 RpmB2_1|65 AA"
1051,true,"MMAR_2312|MMAR_2312|nucleoside-diphosphate-sugar",43.45,19.68,6,5,"Deamidation (NQ); Oxidation (M)",2418.6636,2556.6519,2692.4512,3491.8064,4108.249,4054.0898,1815.0774,1673.0286,1932.1692,0.90:0.95:1.00:1.30:1.53:1.51:0.67:0.62:0.72,2555.922,3884.715,1806.7584,1.00:1.52:0.71,33251,"epimerase|311 AA"
1298,true,"MMAR_4477|ispE|4-diphosphocytidyl-2-C-methyl-D-erythritol",12.49,34.53,7,7,"Carbamidomethylation",728.7904,461.61115,762.1251,1981.2488,2048.2566,1398.6342,1248.7528,385.27515,1114.4037,0.96:0.61:1.00:2.60:2.69:1.84:1.64:0.51:1.46,650.8422,1809.3799,916.14386,1.00:2.78:1.41,31668,"kinase IspE|308 AA"
229,true,"MMAR_4212|mrp|Mrp-related",44.15,63.47,22,19,"Deamidation (NQ); Oxidation (M)",3579.7324,3615.6445,3244.8628,9246.185,9565.771,9401.997,2562.7593,2210.9822,1602.7247,1.10:1.11:1.00:2.85:2.95:2.90:0.79:0.68:0.49,3480.0798,9404.651,2125.4888,1.00:2.70:0.61,40717,"protein Mrp|387 AA"
1483,true,"MMAR_4896|MMAR_4896|conserved",17.40,32.47,5,5,"Carbamidomethylation; Oxidation (M)",2864.2476,1297.5869,1162.6635,4011.3188,3609.5508,3546.8262,1598.7245,1604.5945,1626.3131,2.46:1.12:1.00:3.45:3.10:3.05:1.38:1.38:1.40,1774.8326,3722.5652,1609.8773,1.00:2.10:0.91,17352,"hypothetical protein|155 AA"
2524,true,"MMAR_3396|MMAR_3396|conserved",7.15,9.77,1,1,"Carbamidomethylation",252.35052,67.04869,96.74565,177.26854,272.76953,298.0443,117.652306,158.08704,160.03326,2.61:0.69:1.00:1.83:2.82:3.08:1.22:1.63:1.65,138.71495,249.3608,145.25754,1.00:1.80:1.05,15243,"hypothetical protein|134 AA"
741,true,"MMAR_4440|MMAR_4440|conserved",48.20,33.33,9,9,"Carbamidomethylation; Deamidation (NQ); Oxidation (M)",7080.681,7399.009,7380.707,10356.077,8318.584,7927.711,2714.0466,3015.228,2491.3086,0.96:1.00:1.00:1.40:1.13:1.07:0.37:0.41:0.34,7286.799,8867.457,2740.1943,1.00:1.22:0.38,39481,"hypothetical protein|352 AA"
413,true,"MMAR_1087|rpsM|30S",83.78,67.74,21,17,"Carbamidomethylation; Deamidation (NQ); Oxidation (M)",100527.125,104080.24,105622.74,112555.39,115810.805,113174.95,50160.938,51049.965,50593.28,0.95:0.99:1.00:1.07:1.10:1.07:0.47:0.48:0.48,103410.04,113847.05,50601.395,1.00:1.10:0.49,14322,"ribosomal protein S13, RpsM|125 AA"
889,true,"MMAR_1525|agpS|alkyldihydroxyacetonephosphate",33.32,29.62,13,11,"Carbamidomethylation; Deamidation (NQ)",2872.1409,2861.1375,2681.9883,3745.5508,2762.1836,2588.7632,909.7746,536.48914,394.8006,1.07:1.07:1.00:1.40:1.03:0.97:0.34:0.20:0.15,2805.0889,3032.166,613.6881,1.00:1.08:0.22,56794,"synthase AgpS|531 AA"
2839,true,"MMAR_0630|MMAR_0630|transcriptional",25.27,8.91,1,1,"",83.960976,68.531494,78.978836,94.98298,119.05929,130.5465,0.0,54.71427,51.47226,1.06:0.87:1.00:1.20:1.51:1.65:0.00:0.69:0.65,77.157104,114.86292,53.093266,1.00:1.49:0.69,21312,"regulatory protein|203 AA"
1494,true,"MMAR_1376|MMAR_1376|conserved",40.65,46.36,5,5,"Carbamidomethylation; Oxidation (M)",3193.7095,2838.6648,3762.2888,3847.1604,3469.2788,4884.009,1241.8007,1324.9976,1199.9021,0.85:0.75:1.00:1.02:0.92:1.30:0.33:0.35:0.32,3264.8877,4066.816,1255.5668,1.00:1.25:0.38,16642,"hypothetical protein|152 AA"
729,true,"MMAR_5079|MMAR_5079|tRNA/rRNA",24.70,35.16,12,11,"Carbamidomethylation; Deamidation (NQ)",7448.0225,6449.841,7448.621,5765.896,6912.9463,7007.2524,3478.1394,1915.9469,3452.088,1.00:0.87:1.00:0.77:0.93:0.94:0.47:0.26:0.46,7115.495,6562.0317,2948.7246,1.00:0.92:0.41,32508,"methyltransferase|311 AA"
1348,true,"MMAR_4821|MMAR_4821|conserved",34.61,16.71,8,6,"Carbamidomethylation",3392.6987,3460.9543,3565.5034,4055.699,3183.208,3883.8457,1380.5532,1749.1171,1898.0707,0.95:0.97:1.00:1.14:0.89:1.09:0.39:0.49:0.53,3473.0522,3707.5842,1675.9136,1.00:1.07:0.48,47912,"hypothetical protein|432 AA"
566,true,"MMAR_5449|esxB|Esat-6",50.22,99.00,15,13,"Acetylation (Protein N-term); Deamidation (NQ); Oxidation (M); Pyro-glu from Q",56474.953,57931.1,61473.78,70109.8,67822.51,67614.81,29396.785,29012.367,23904.207,0.92:0.94:1.00:1.14:1.10:1.10:0.48:0.47:0.39,58626.61,68515.7,27437.785,1.00:1.17:0.47,10737,"like protein EsxB|101 AA"
2244,true,"MMAR_0956|recD|exodeoxyribonuclease",23.00,4.26,2,2,"",240.2638,119.23517,285.67184,433.01068,364.93204,344.30682,72.22842,0.0,70.696594,0.84:0.42:1.00:1.52:1.28:1.21:0.25:0.00:0.25,215.05693,380.74985,71.46251,1.00:1.77:0.33,62957,"V (alpha chain), RecD|588 AA"
2919,true,"MMAR_3441|MMAR_3441|conserved",44.21,9.02,1,1,"",218.59712,167.73457,149.44147,706.827,596.38275,580.57355,163.13028,184.92853,187.51207,1.46:1.12:1.00:4.73:3.99:3.88:1.09:1.24:1.25,178.59105,627.9278,178.52362,1.00:3.52:1.00,27005,"hypothetical protein|245 AA"
670,true,"MMAR_1793|MMAR_1793|conserved",55.16,50.41,12,12,"Carbamidomethylation; Deamidation (NQ); Oxidation (M); Pyro-glu from Q",3381.4763,3768.7615,3732.4102,3371.0264,3278.6733,3940.855,1053.0245,1203.2415,1191.8065,0.91:1.01:1.00:0.90:0.88:1.06:0.28:0.32:0.32,3627.5493,3530.185,1149.3575,1.00:0.97:0.32,38958,"hypothetical protein|364 AA"
2193,true,"MMAR_5387|MMAR_5387|conserved",1.56,6.91,3,2,"Carbamidomethylation",441.4234,125.3515,965.3209,891.8666,113.44293,246.81317,498.5693,542.59625,559.6546,0.46:0.13:1.00:0.92:0.12:0.26:0.52:0.56:0.58,510.6986,417.37424,533.6067,1.00:0.82:1.04,48493,"hypothetical membrane protein|464 AA"
1277,true,"MMAR_2505|MMAR_2505|NUDIX",43.59,31.88,5,5,"Oxidation (M)",1830.0706,2040.3777,2342.0261,2361.9294,1736.9851,2247.4067,630.9686,562.8929,688.453,0.78:0.87:1.00:1.01:0.74:0.96:0.27:0.24:0.29,2070.8247,2115.4404,627.4381,1.00:1.02:0.30,22671,"hydrolase|208 AA"
1035,true,"MMAR_1800|MMAR_1800|conserved",59.59,80.00,12,8,"Oxidation (M)",22067.293,23041.543,22614.28,34339.543,31237.834,31298.086,13731.813,14727.751,14773.111,0.98:1.02:1.00:1.52:1.38:1.38:0.61:0.65:0.65,22574.371,32291.82,14410.893,1.00:1.43:0.64,8555,"protein|81 AA"
964,true,"MMAR_4992|fadE26|acyl-CoA",20.91,28.83,8,8,"Deamidation (NQ); Oxidation (M)",2824.5247,3200.8413,1788.3492,3226.902,4013.6094,3266.4824,1336.6719,669.4452,1392.0269,1.58:1.79:1.00:1.80:2.24:1.83:0.75:0.37:0.78,2604.5718,3502.3313,1132.7146,1.00:1.34:0.43,43111,"dehydrogenase FadE26|393 AA"
1389,true,"MMAR_0697|MMAR_0697|acyl-CoA",37.39,13.35,6,5,"Oxidation (M)",1369.1166,1654.6116,1787.9601,1518.0073,1494.4363,1213.0016,453.73438,493.6968,640.7699,0.77:0.93:1.00:0.85:0.84:0.68:0.25:0.28:0.36,1603.8961,1408.4817,529.4003,1.00:0.88:0.33,42217,"dehydrogenase |383 AA"
1480,true,"MMAR_3499|MMAR_3499|flavodoxin",18.41,29.47,6,6,"Carbamidomethylation",415.95007,372.8539,590.50934,1083.4841,1271.5725,497.75052,295.25296,284.66544,277.1372,0.70:0.63:1.00:1.83:2.15:0.84:0.50:0.48:0.47,459.77112,950.9357,285.6852,1.00:2.07:0.62,30121,"oxidoreductase|286 AA"
902,true,"MMAR_1922|rpsO|30S",62.34,60.67,10,9,"Deamidation (NQ)",51011.65,55625.086,56316.79,46705.938,48733.57,46994.164,20554.773,18767.69,21146.953,0.91:0.99:1.00:0.83:0.87:0.83:0.36:0.33:0.38,54317.844,47477.89,20156.473,1.00:0.87:0.37,10416,"ribosomal protein S15 RpsO|90 AA"
2347,true,"MMAR_1113|MMAR_1113|conserved",12.38,17.95,2,2,"Acetylation (Protein N-term); Carbamidomethylation",391.3342,306.99292,247.69054,428.52374,257.5772,351.93146,206.19888,216.85509,211.01428,1.58:1.24:1.00:1.73:1.04:1.42:0.83:0.88:0.85,315.33923,346.0108,211.35608,1.00:1.10:0.67,17672,"hypothetical transmembrane protein|157 AA"
2574,true,"MMAR_0546|esxG|EsaT-6",11.21,20.62,1,1,"",0.0,57.623413,77.346306,215.23926,169.66019,183.63675,0.0,75.93237,0.0,0.00:0.75:1.00:2.78:2.19:2.37:0.00:0.98:0.00,67.48486,189.51207,75.93237,1.00:2.81:1.13,9744,"like protein EsxG|98 AA"
2586,true,"MMAR_4219|MMAR_4219|transcriptional",24.21,4.25,1,1,"",126.81287,144.54532,169.97713,3240.115,856.1131,693.12756,949.94135,774.53503,934.1306,0.75:0.85:1.00:19.06:5.04:4.08:5.59:4.56:5.50,147.11177,1596.4519,886.20233,1.00:10.85:6.02,23171,"regulator|213 AA"
1068,true,"MMAR_0808|murB|UDP-N-acetylenolpyruvoylglucosamine",29.84,27.32,7,7,"Carbamidomethylation",2139.6108,1273.3535,1886.5938,3784.1738,2588.4377,3504.525,956.9826,898.9774,1080.5585,1.13:0.67:1.00:2.01:1.37:1.86:0.51:0.48:0.57,1766.5194,3292.379,978.83954,1.00:1.86:0.55,38194,"reductase MurB|367 AA"
2360,true,"MMAR_4124|MMAR_4124|conserved",8.85,8.00,1,1,"Deamidation (NQ)",276.00873,214.8963,274.04828,179.68762,295.2041,169.80956,159.58537,190.0427,162.3621,1.01:0.78:1.00:0.66:1.08:0.62:0.58:0.69:0.59,254.98444,214.90042,170.66339,1.00:0.84:0.67,18930,"hypothetical secreted protein|176 AA"
120,true,"MMAR_2420|pykA|pyruvate",64.04,76.27,33,30,"Carbamidomethylation; Deamidation (NQ); Oxidation (M); Pyro-glu from Q",33451.86,37122.17,36705.273,37224.43,37551.613,36207.547,16207.122,17055.355,16999.594,0.91:1.01:1.00:1.01:1.02:0.99:0.44:0.46:0.46,35759.766,36994.53,16754.023,1.00:1.03:0.47,50793,"kinase PykA|473 AA"
2216,true,"MMAR_0917|MMAR_0917|Flavin-binding",12.43,2.99,1,1,"",166.6058,373.35117,149.28911,750.5129,576.73376,388.71603,150.80392,300.50458,299.53815,1.12:2.50:1.00:5.03:3.86:2.60:1.01:2.01:2.01,229.74869,571.98755,250.28221,1.00:2.49:1.09,56090,"monooxygenase|503 AA"
529,true,"MMAR_3834|plsC|bifunctional",44.38,25.50,14,11,"Deamidation (NQ); Oxidation (M); Pyro-glu from Q",5412.0303,7146.5674,7599.673,13493.891,12683.687,12994.455,3871.0503,4138.947,3620.9058,0.71:0.94:1.00:1.78:1.67:1.71:0.51:0.54:0.48,6719.4233,13057.344,3876.9675,1.00:1.94:0.58,69358,"transmembrane phospholipid biosynthesis enzyme PlsC|652 AA"
815,true,"MMAR_0001|dnaA|chromosomal",27.63,17.84,10,9,"Carbamidomethylation; Oxidation (M)",1273.4723,1681.273,836.0885,2892.8784,2714.3171,2902.2966,986.39667,619.1299,730.0154,1.52:2.01:1.00:3.46:3.25:3.47:1.18:0.74:0.87,1263.6112,2836.4976,778.514,1.00:2.24:0.62,56601,"replication initiator protein DnaA|511 AA"
52,true,"MMAR_3830|MMAR_3830|ATP-binding",60.10,53.05,34,32,"Carbamidomethylation; Deamidation (NQ); Oxidation (M)",68644.695,67517.45,69973.22,115092.13,100895.51,101850.3,43932.93,44331.082,43465.258,0.98:0.96:1.00:1.64:1.44:1.46:0.63:0.63:0.62,68711.79,105945.98,43909.758,1.00:1.54:0.64,61892,"component of an ABC transporter|559 AA"
899,true,"MMAR_2730|MMAR_2730|oxidoreductase|226",70.88,61.33,11,10,"Carbamidomethylation",6429.396,6946.964,7492.1006,11691.206,11381.009,11606.048,2933.8003,2814.9963,2881.4424,0.86:0.93:1.00:1.56:1.52:1.55:0.39:0.38:0.38,6956.1533,11559.421,2876.7463,1.00:1.66:0.41,23290,"AA"
2040,true,"MMAR_3111|gabD1_1|succinate-semialdehyde",17.44,3.90,2,2,"",464.42374,867.1747,613.9777,1380.1093,1089.4548,1138.372,632.1699,718.16046,473.2208,0.76:1.41:1.00:2.25:1.77:1.85:1.03:1.17:0.77,648.5254,1202.6453,607.8504,1.00:1.85:0.94,58380,"dehydrogenase [NADP+] dependent, GabD1_1|539 AA"
1816,true,"MMAR_4065|dmpA|L-aminopeptidase/D-esterase",26.16,10.77,3,3,"",2496.1265,2661.0466,2438.708,2725.8862,1972.5945,2794.6494,627.4877,1196.9427,1037.6188,1.02:1.09:1.00:1.12:0.81:1.15:0.26:0.49:0.43,2531.9604,2497.71,954.01636,1.00:0.99:0.38,35839,"DmpA|363 AA"
2234,true,"MMAR_1234|phoS2_1|periplasmic",9.89,2.97,1,1,"",1255.1272,1111.3412,1433.6433,1731.567,1466.3007,1352.8378,1027.0854,828.73,1337.1833,0.88:0.78:1.00:1.21:1.02:0.94:0.72:0.58:0.93,1266.7039,1516.9019,1064.3329,1.00:1.20:0.84,38414,"phosphate-binding lipoprotein PhoS2_1|371 AA"
1167,true,"MMAR_0561|MMAR_0561|conserved",42.34,19.56,6,6,"",2528.2837,2080.0344,2649.0923,4639.7114,3810.4128,3513.73,992.49677,652.31976,732.1477,0.95:0.79:1.00:1.75:1.44:1.33:0.37:0.25:0.28,2419.1367,3987.9514,792.3214,1.00:1.65:0.33,44923,"hypothetical protein|410 AA"
487,true,"MMAR_4472|rplY|50S",38.13,40.19,13,12,"Deamidation (NQ); Oxidation (M)",47341.168,49777.24,52178.797,62375.11,64381.164,62646.41,49702.95,51379.664,51101.633,0.91:0.95:1.00:1.20:1.23:1.20:0.95:0.98:0.98,49765.734,63134.227,50728.082,1.00:1.27:1.02,22369,"ribosomal protein L25 RplY|215 AA"
2387,true,"MMAR_1470|nuoN|NADH",30.68,5.87,1,1,"",126.43711,128.38417,327.36496,981.0281,1016.5703,928.07635,82.42232,57.043404,136.1253,0.39:0.39:1.00:3.00:3.11:2.83:0.25:0.17:0.42,194.06207,975.2249,91.86368,1.00:5.03:0.47,55178,"dehydrogenase I (chain N) NuoN (NADH-ubiquinone oxidoreductase chain N)|529 AA"
1718,true,"MMAR_5345|MMAR_5345|conserved",12.92,19.85,3,3,"Oxidation (M)",569.60706,484.41248,495.15732,846.90466,428.079,796.08203,350.98413,315.69272,413.23663,1.15:0.98:1.00:1.71:0.86:1.61:0.71:0.64:0.83,516.3923,690.3552,378.25934,1.00:1.34:0.73,28397,"hypothetical protein|263 AA"
1901,true,"MMAR_0813|MMAR_0813|conserved",21.76,11.48,3,2,"",444.62585,888.3366,466.72256,677.4312,452.26675,370.4195,136.23283,224.95404,126.20819,0.95:1.90:1.00:1.45:0.97:0.79:0.29:0.48:0.27,599.895,500.03915,162.46503,1.00:0.83:0.27,20593,"hypothetical protein|184 AA"
1528,true,"MMAR_4558|MMAR_4558|conserved",40.54,20.08,4,4,"Oxidation (M)",2168.0127,2490.0996,2441.906,2770.4526,3015.0083,2523.1807,1373.582,1135.1517,1106.6658,0.89:1.02:1.00:1.13:1.23:1.03:0.56:0.46:0.45,2389.0527,2769.547,1205.1332,1.00:1.16:0.50,26375,"secreted protein|250 AA"
830,true,"MMAR_5484|MMAR_5484|conserved",41.06,67.58,10,9,"Acetylation (Protein N-term); Oxidation (M)",3692.108,4171.9404,3752.7407,4925.18,4589.189,4070.6975,2070.8035,2198.478,2387.8667,0.98:1.11:1.00:1.31:1.22:1.08:0.55:0.59:0.64,3872.263,4528.3555,2219.0493,1.00:1.17:0.57,19792,"protein|183 AA"
549,true,"MMAR_1537|MMAR_1537|conserved",56.24,59.79,15,13,"Carbamidomethylation; Deamidation (NQ); Oxidation (M)",16941.287,18380.459,18371.807,31066.824,31704.021,30269.717,12476.445,10648.886,12056.449,0.92:1.00:1.00:1.69:1.73:1.65:0.68:0.58:0.66,17897.852,31013.521,11727.26,1.00:1.73:0.66,30774,"protein|282 AA"
812,true,"MMAR_4671|ercc3|DNA",34.03,19.13,11,9,"Oxidation (M)",1937.4922,1644.7864,1475.7152,2537.4297,3175.7708,3059.406,1340.0195,1050.8982,1054.1365,1.31:1.11:1.00:1.72:2.15:2.07:0.91:0.71:0.71,1685.9979,2924.2021,1185.1521,1.00:1.73:0.70,60778,"helicase Ercc3|550 AA"
1819,true,"MMAR_0447|MMAR_0447|conserved",20.48,13.88,3,3,"",640.89667,843.9103,762.30035,1736.7832,1829.1085,1883.9965,345.6066,870.7017,261.73273,0.84:1.11:1.00:2.28:2.40:2.47:0.45:1.14:0.34,749.03577,1816.6294,492.68036,1.00:2.43:0.66,26458,"hypothetical protein|246 AA"
108,true,"MMAR_2240|pgk|phosphoglycerate",71.60,85.58,30,28,"Deamidation (NQ); Oxidation (M); Pyro-glu from Q",41363.242,43848.004,44037.188,58834.984,54011.367,54015.242,17147.795,17866.498,18102.805,0.94:1.00:1.00:1.34:1.23:1.23:0.39:0.41:0.41,43082.812,55620.53,17705.7,1.00:1.29:0.41,42899,"kinase Pgk|417 AA"
1626,true,"MMAR_0550|mycP3|membrane-anchored",43.07,11.39,5,4,"Carbamidomethylation",1462.1195,1321.6481,1982.1156,4988.3965,4065.9302,3514.8076,804.86945,653.43317,741.8232,0.74:0.67:1.00:2.52:2.05:1.77:0.41:0.33:0.37,1588.6277,4189.7114,733.37524,1.00:2.64:0.46,47385,"mycosin MycP3|475 AA"
1612,true,"MMAR_1690|trmU|tRNA",20.03,15.13,3,3,"Carbamidomethylation",905.7829,866.01935,1627.2152,1505.956,1512.4296,1421.0364,723.8993,565.2548,673.3377,0.56:0.53:1.00:0.93:0.93:0.87:0.44:0.35:0.41,1133.0059,1479.8074,654.16394,1.00:1.31:0.58,37649,"(5-methylaminomethyl-2-thiouridylate)-methyltransferase TrmU|358 AA"
731,true,"MMAR_2003|sigB|RNA",51.30,33.63,14,10,"Carbamidomethylation; Deamidation (NQ); Pyro-glu from E",3639.118,4006.445,3142.6777,7292.5815,6373.5063,6892.3276,1448.1375,1635.2012,1259.4631,1.16:1.27:1.00:2.32:2.03:2.19:0.46:0.52:0.40,3596.08,6852.805,1447.6006,1.00:1.91:0.40,37417,"polymerase sigma factor SigB|334 AA"
180,true,"MMAR_4557|pgi|glucose-6-phosphate",72.56,38.45,20,17,"Acetylation (Protein N-term); Deamidation (NQ); Oxidation (M); Pyro-glu from Q",35344.168,35156.574,38636.39,42332.516,41551.594,40738.93,15031.73,15475.664,15112.325,0.91:0.91:1.00:1.10:1.08:1.05:0.39:0.40:0.39,36379.047,41541.016,15206.573,1.00:1.14:0.42,60311,"isomerase Pgi|555 AA"
2409,true,"MMAR_3242|mmpS3|conserved",2.22,3.17,1,1,"",415.9637,138.23529,331.4841,287.9176,496.2732,317.1571,286.11777,243.5765,283.04398,1.25:0.42:1.00:0.87:1.50:0.96:0.86:0.73:0.85,295.2277,367.11597,270.91275,1.00:1.24:0.92,32740,"membrane protein MmpS3|316 AA"
1161,true,"MMAR_4529|mprA|mycobacterial",53.19,35.78,7,6,"Carbamidomethylation; Oxidation (M)",6176.9473,6962.094,5501.8804,9509.953,8878.113,11091.03,2242.002,2314.362,2392.5872,1.12:1.27:1.00:1.73:1.61:2.02:0.41:0.42:0.43,6213.6406,9826.365,2316.3171,1.00:1.58:0.37,26025,"persistence regulator MprA|233 AA"
