"Protein Group","Top","Accession","Significance","Coverage (%)","#Peptides","#Unique","PTM","NovWT_1 Area","NovWT_2 Area","NovWT_3 Area","NovDel_1 Area","NovDel_2 Area","NovDel_3 Area","NovComp_3 Area","NovComp_1 Area","NovComp_2 Area","Sample Profile (Ratio)","WT Area","Del Area","Comp Area","Group Profile (Ratio)","Avg. Mass","Description"
1214,true,"MMAR_1287|manA|mannose-6-phosphate",19.39,30.39,13,10,"Deamidation (NQ)",16141.555,15915.129,16186.112,10853.529,9505.2,10112.561,3376.906,671.37524,4116.7627,1.00:0.99:1.00:0.67:0.59:0.63:0.21:0.04:0.26,16080.932,10157.097,2759.0916,1.00:0.63:0.17,43723,"isomerase ManA |409 AA"
160,true,"MMAR_2118|gabT|4-aminobutyrate",3.29,73.77,46,30,"Carbamidomethylation; Deamidation (NQ); Oxidation (M)",87543.28,82064.04,77647.51,88993.47,73176.33,89147.96,79447.77,51973.953,85477.734,1.00:0.94:0.89:1.02:0.84:1.02:0.91:0.59:0.98,82418.28,83772.586,72299.82,1.00:1.02:0.88,47178,"aminotransferase GabT|447 AA"
2202,true,"MMAR_1725|MMAR_1725|transcriptional",1.52,20.60,3,3,"Carbamidomethylation",1432.3273,998.9112,471.89056,1017.9964,679.46765,980.9127,883.5944,880.45355,1942.9094,1.00:0.70:0.33:0.71:0.47:0.68:0.62:0.61:1.36,967.70966,892.79224,1235.6525,1.00:0.92:1.28,24462,"regulatory protein|234 AA"
150,true,"MMAR_4103|thrA|homoserine",8.67,66.21,42,27,"Carbamidomethylation; Deamidation (NQ); Oxidation (M)",74096.016,69884.766,79450.17,82800.3,76371.89,81933.82,84177.0,96800.875,78614.44,1.00:0.94:1.07:1.12:1.03:1.11:1.14:1.31:1.06,74476.984,80368.664,86530.77,1.00:1.08:1.16,45709,"dehydrogenase ThrA|442 AA"
2824,true,"MMAR_1367|MMAR_1367|conserved",17.07,24.56,2,1,"",138.12555,63.563435,63.87074,402.57108,386.05676,85.92946,526.14014,920.29785,463.3591,1.00:0.46:0.46:2.91:2.79:0.62:3.81:6.66:3.35,88.519905,291.5191,636.599,1.00:3.29:7.19,6241,"hypothetical protein|58 AA"
618,true,"MMAR_1799|rpsP|30S",34.52,83.85,25,16,"Carbamidomethylation; Deamidation (NQ)",143695.28,144354.42,142382.75,213597.5,198531.69,197384.8,90453.96,62662.83,92413.61,1.00:1.00:0.99:1.49:1.38:1.37:0.63:0.44:0.64,143477.47,203171.31,81843.47,1.00:1.42:0.57,17399,"ribosomal protein S16 RpsP|162 AA"
3429,true,"MMAR_4360|MMAR_4360|conserved",58.02,17.65,1,1,"",185.83961,66.69406,117.15834,0.0,0.0,0.0,0.0,0.0,0.0,1.00:0.36:0.63:0.00:0.00:0.00:0.00:0.00:0.00,123.230675,0.0,0.0,1.00:0.00:0.00,9493,"hypothetical protein|86 AA"
203,true,"MMAR_0321|fusA2|elongation",42.74,62.40,53,35,"Acetylation (Protein N-term); Carbamidomethylation; Deamidation (NQ); Oxidation (M)",49042.195,50780.754,51684.035,29911.68,36859.453,23189.004,9624.28,12172.286,9210.169,1.00:1.04:1.05:0.61:0.75:0.47:0.20:0.25:0.19,50502.33,29986.713,10370.1875,1.00:0.59:0.21,75924,"factor G FusA2|719 AA"
1082,true,"MMAR_2177|aroB|3-dehydroquinate",88.48,42.54,10,9,"Carbamidomethylation; Deamidation (NQ); Oxidation (M)",15775.893,14770.183,14529.762,8001.2617,7886.2896,7661.6797,792.42566,769.3964,885.7657,1.00:0.94:0.92:0.51:0.50:0.49:0.05:0.05:0.06,15025.279,7849.743,815.8626,1.00:0.52:0.05,38212,"synthase AroB|363 AA"
955,true,"MMAR_2032|dxs1|1-deoxy-D-xylulose",60.79,24.65,15,10,"Deamidation (NQ); Oxidation (M); Pyro-glu from Q",6125.199,6814.351,4834.1113,6435.2896,5687.2725,7463.7056,100.45805,51.688103,51.40737,1.00:1.11:0.79:1.05:0.93:1.22:0.02:0.02:0.02,5924.5537,6528.756,203.55353,1.00:1.10:0.03,67705,"5-phosphate synthase Dxs1 |638 AA"
2597,true,"#CONTAM#cont|000126|",60.70,4.80,1,1,"Deamidation (NQ); Oxidation (M)",102.11121,130.54956,206.82535,173.42593,94.14935,152.66245,0.0,0.0,0.0,1.00:1.28:2.03:1.70:0.92:1.50:0.00:0.00:0.00,146.49538,140.07924,0.0,1.00:0.96:0.00,60069,"spt|P48666| Keratin, type II cytoskeletal 6C (Cytokeratin 6C) (CK 6C) (K6c keratin) [Homo sapiens (contaminant)]"
2206,true,"MMAR_4405|MMAR_4405|conserved",5.02,13.79,7,3,"Deamidation (NQ)",7411.952,1880.7874,1394.1937,677.0867,2403.3289,708.2375,2702.1975,2459.1504,1246.2736,1.00:0.25:0.19:0.09:0.32:0.10:0.36:0.33:0.17,3562.311,1262.8844,2135.8738,1.00:0.35:0.60,32093,"hypothetical protein|291 AA"
2100,true,"MMAR_1517|devS|two",6.23,6.84,4,3,"",2701.0605,2602.8564,2227.1108,3383.851,2691.806,2905.797,3027.954,3356.622,2500.2432,1.00:0.96:0.82:1.25:1.00:1.08:1.12:1.24:0.93,2510.3425,2993.818,3014.4888,1.00:1.19:1.20,62756,"component sensor histidine kinase DevS|586 AA"
1169,true,"MMAR_4819|MMAR_4819|conserved",34.90,40.59,7,7,"Deamidation (NQ); Oxidation (M)",11497.365,11430.14,16607.344,3706.1108,4022.6406,5033.3696,1508.3519,471.56046,900.61206,1.00:0.99:1.44:0.32:0.35:0.44:0.13:0.04:0.08,13178.283,4254.0405,1004.6756,1.00:0.32:0.08,29940,"hypothetical protein|272 AA"
2453,true,"MMAR_2580|MMAR_2580|conserved",17.34,12.65,2,2,"Oxidation (M)",181.01843,322.23547,7197.572,14258.876,14135.312,14607.9795,100.99922,178.53818,678.35144,1.00:1.78:39.76:64.00:64.00:64.00:0.56:0.99:3.75,2566.942,14334.056,319.29626,1.00:5.58:0.12,27930,"hypothetical protein|246 AA"
506,true,"MMAR_2399|hisA|phosphoribosylformimino-5-aminoimidazole",19.60,74.30,26,18,"Acetylation (Protein N-term); Carbamidomethylation; Deamidation (NQ); Pyro-glu from E",62263.75,64463.453,72721.836,63465.234,56992.85,63282.273,29644.828,11145.208,30311.045,1.00:1.04:1.17:1.02:0.92:1.02:0.48:0.18:0.49,66483.016,61246.79,23700.361,1.00:0.92:0.36,26044,"carboxamide ribotide isomerase HisA|250 AA"
435,false,"#CONTAM#cont|000135|",1.69,36.18,22,17,"Carbamidomethylation; Oxidation (M)",6395.989,6711.935,14692.736,7932.3184,6927.229,6994.3984,5878.426,4350.9746,10626.762,1.00:1.05:2.30:1.24:1.08:1.09:0.92:0.68:1.66,9266.887,7284.6484,6952.054,1.00:0.79:0.75,66039,"cra|hCP1609934.2| keratin 1 (epidermolytic hyperkeratosis) [Homo sapiens (contaminant)]"
897,true,"MMAR_3765|obg|GTP1/OBG-family",45.03,38.20,18,13,"Carbamidomethylation; Deamidation (NQ); Oxidation (M)",10573.965,15076.522,14303.42,12325.058,9560.579,12344.765,1916.648,1969.7526,1223.054,1.00:1.43:1.35:1.17:0.90:1.17:0.18:0.19:0.12,13317.97,11410.134,1747.85,1.00:0.86:0.13,50568,"GTP-binding protein Obg|480 AA"
889,true,"MMAR_0816|regX3|two",58.81,66.96,17,12,"Carbamidomethylation; Oxidation (M)",38761.184,44633.74,40155.117,18144.043,18891.738,18914.074,7498.284,6641.5347,5567.441,1.00:1.15:1.04:0.47:0.49:0.49:0.19:0.17:0.14,41183.344,18649.951,6569.087,1.00:0.45:0.16,24803,"component sensory transduction protein RegX3|228 AA"
1073,true,"MMAR_0777|MMAR_0777|conserved",10.64,56.38,12,9,"Carbamidomethylation; Deamidation (NQ); Oxidation (M)",27249.918,25906.61,25025.896,21573.164,20167.73,20117.688,23012.766,26549.324,18843.176,1.00:0.95:0.92:0.79:0.74:0.74:0.84:0.97:0.69,26060.809,20619.527,22801.756,1.00:0.79:0.87,17023,"secreted protein|150 AA"
614,true,"MMAR_4104|lysA|diaminopimelate",1.88,39.62,27,17,"Carbamidomethylation; Deamidation (NQ); Oxidation (M)",14432.918,28501.36,16189.707,38153.15,12804.703,37316.527,52765.766,10968.52,56149.516,1.00:1.97:1.12:2.64:0.89:2.59:3.66:0.76:3.89,19707.996,29424.795,39961.266,1.00:1.49:2.03,50410,"decarboxylase LysA |473 AA"
915,true,"MMAR_0876|MMAR_0876|conserved",55.97,26.71,9,7,"Deamidation (NQ); Oxidation (M)",8265.254,9155.473,8071.1313,4403.2144,4429.3237,5248.3975,127.64262,161.486,280.99185,1.00:1.11:0.98:0.53:0.54:0.63:0.02:0.02:0.03,8497.286,4693.6455,226.42892,1.00:0.55:0.03,47014,"hypothetical protein|439 AA"
1753,true,"MMAR_0948|MMAR_0948|conserved",18.02,39.75,4,4,"Carbamidomethylation; Oxidation (M)",6218.556,2465.078,3051.8923,2776.3403,2156.0645,2433.5654,1224.0463,871.1804,319.76062,1.00:0.40:0.49:0.45:0.35:0.39:0.20:0.14:0.05,3911.842,2455.3235,1002.9126,1.00:0.63:0.26,17664,"hypothetical protein|162 AA"
508,true,"MMAR_4534|accA2|acetyl-/propionyl-coenzyme",10.70,29.61,17,12,"Carbamidomethylation; Deamidation (NQ); Oxidation (M)",33041.11,33978.4,3074.3726,4811.465,4696.1377,3881.272,2438.225,1932.086,3318.3406,1.00:1.03:0.09:0.15:0.14:0.12:0.07:0.06:0.10,23364.627,4462.958,2562.8838,1.00:0.19:0.11,70147,"a carboxylase alpha chain, AccA2   |663 AA"
323,true,"MMAR_3773|MMAR_3773|conserved",42.57,78.95,24,16,"Acetylation (Protein N-term); Deamidation (NQ); Oxidation (M)",117361.69,122898.83,123250.234,63999.9,63118.36,59838.52,32808.625,20370.324,30112.928,1.00:1.05:1.05:0.55:0.54:0.51:0.28:0.17:0.26,121170.25,62318.93,27763.959,1.00:0.51:0.23,22107,"protein|210 AA"
2521,true,"MMAR_2970|MMAR_2970|PE-PGRS",31.43,3.45,1,1,"",425.18558,235.63507,259.54657,607.59216,251.55893,412.34003,56.47581,62.204807,64.5907,1.00:0.55:0.61:1.43:0.59:0.97:0.13:0.15:0.15,306.78906,423.83038,61.09044,1.00:1.38:0.20,50945,"family protein|610 AA"
1978,true,"MMAR_4587|MMAR_4587|conserved",27.10,20.96,2,2,"Oxidation (M)",676.475,788.18756,638.7301,0.0,50.587013,0.0,0.0,0.0,0.0,1.00:1.17:0.94:0.00:0.07:0.00:0.00:0.00:0.00,701.1309,50.587013,0.0,1.00:0.07:0.00,29554,"hypothetical oxidoreductase|273 AA"
1030,true,"MMAR_2369|dnaE1|DNA",0.70,12.20,13,9,"Carbamidomethylation; Deamidation (NQ); Oxidation (M)",754.22296,1916.9557,1927.9185,2199.5044,834.8643,1473.77,1669.5486,671.1879,1328.9312,1.00:2.54:2.56:2.92:1.11:1.95:2.21:0.89:1.76,1533.0323,1502.7129,1223.2227,1.00:0.98:0.80,129123,"polymerase III, alpha subunit, DnaE1 |1181 AA"
1596,true,"MMAR_3036|MMAR_3036|conserved",30.80,48.84,7,5,"Carbamidomethylation; Deamidation (NQ); Oxidation (M)",6404.198,6357.3057,6278.107,6216.1226,5445.2114,5760.38,660.03314,1827.3026,1359.9736,1.00:0.99:0.98:0.97:0.85:0.90:0.10:0.29:0.21,6346.5366,5807.2383,1282.4364,1.00:0.92:0.20,14125,"hypothetical protein|130 AA"
2217,true,"MMAR_1159|MMAR_1159|conserved",71.15,33.09,4,3,"Oxidation (M)",3576.9978,3030.9758,2929.983,2189.5283,1962.7354,1757.495,65.854095,75.85556,92.3043,1.00:0.85:0.82:0.61:0.55:0.49:0.02:0.02:0.03,3179.3188,1969.9196,78.004654,1.00:0.62:0.02,14808,"hypothetical protein|137 AA"
821,true,"MMAR_5115|MMAR_5115|monooxygenase|397",45.23,43.43,12,10,"Carbamidomethylation; Deamidation (NQ); Oxidation (M)",7341.464,7710.5244,7923.97,5553.873,4689.0283,4857.4927,755.5875,314.1535,542.7675,1.00:1.05:1.08:0.76:0.64:0.66:0.10:0.04:0.07,7658.653,5033.4644,537.50287,1.00:0.66:0.07,43642,"AA"
268,true,"MMAR_0359|MMAR_0359|aldehyde",32.99,57.49,25,20,"Carbamidomethylation; Deamidation (NQ); Oxidation (M)",18825.025,17260.396,12101.324,11171.246,12091.483,11950.385,6537.5977,6141.8203,5857.2407,1.00:0.92:0.64:0.59:0.64:0.63:0.35:0.33:0.31,16062.249,11737.705,6178.886,1.00:0.73:0.38,53523,"dehydrogenase (NAD+) dependent|495 AA"
2039,true,"MMAR_3319|MMAR_3319|dehydrogenase|337",15.71,13.10,5,3,"Oxidation (M)",497.55777,3699.5974,418.33472,727.34515,626.11633,987.51904,99.83304,117.76209,159.77771,1.00:7.44:0.84:1.46:1.26:1.98:0.20:0.24:0.32,1538.4966,780.32684,165.52597,1.00:0.51:0.11,35799,"AA"
864,true,"MMAR_2573|MMAR_2573|conserved",27.53,47.90,19,10,"Carbamidomethylation; Oxidation (M)",11628.699,11809.553,12394.482,9436.783,11311.58,9806.573,6050.234,3100.9475,3294.14,1.00:1.02:1.07:0.81:0.97:0.84:0.52:0.27:0.28,11944.244,10184.979,4148.4404,1.00:0.85:0.35,31077,"protein|287 AA"
2803,true,"MMAR_3964|MMAR_3964|ring-hydroxylating",76.46,6.05,1,1,"",935.8811,1543.4181,1742.4563,3593.807,2662.9983,4340.5835,0.0,0.0,0.0,1.00:1.65:1.86:3.84:2.85:4.64:0.00:0.00:0.00,1407.2518,3532.463,0.0,1.00:2.51:0.00,42005,"dioxygenase, large terminal subunit|381 AA"
1021,true,"MMAR_4409|MMAR_4409|acid",7.08,39.60,19,9,"Deamidation (NQ); Oxidation (M); Pyro-glu from Q",17783.426,8609.25,10130.142,8670.853,15820.123,4572.2544,12632.362,1568.1603,1379.0073,1.00:0.48:0.57:0.49:0.89:0.26:0.71:0.09:0.08,12174.272,9687.743,5193.177,1.00:0.80:0.43,33149,"phosphatase precursor|299 AA"
1906,true,"MMAR_1010|MMAR_1010|transcription",7.74,33.49,6,5,"Deamidation (NQ); Oxidation (M)",562.08673,275.44083,399.4439,808.587,328.79102,440.9074,214.02078,365.42447,189.74753,1.00:0.49:0.71:1.44:0.58:0.78:0.38:0.65:0.34,412.3238,526.0951,256.39758,1.00:1.28:0.62,22999,"regulator, TetR family|216 AA"
1320,true,"MMAR_1961|thyX|thymidylate",15.43,48.40,18,10,"Carbamidomethylation",6312.7817,3201.2039,4485.3906,2941.3079,3722.7544,2587.9797,2213.6396,2449.8062,1540.8855,1.00:0.51:0.71:0.47:0.59:0.41:0.35:0.39:0.24,4666.459,3084.014,2068.1104,1.00:0.66:0.44,27574,"synthase ThyX|251 AA"
1411,true,"MMAR_3946|MMAR_3946|conserved",9.12,43.62,8,6,"Deamidation (NQ)",4123.5737,4038.0195,5373.4653,2158.4001,3543.9397,3053.507,2409.33,4103.594,2075.5356,1.00:0.98:1.30:0.52:0.86:0.74:0.58:1.00:0.50,4511.6865,2918.6157,2862.82,1.00:0.65:0.63,21032,"hypothetical phage protein|189 AA"
31,true,"MMAR_2713|glcB|malate",55.71,65.94,73,52,"Carbamidomethylation; Deamidation (NQ); Oxidation (M); Pyro-glu from Q",153778.6,148769.83,154112.44,57668.332,51634.17,52934.504,47621.44,49481.652,39549.844,1.00:0.97:1.00:0.38:0.34:0.34:0.31:0.32:0.26,152220.28,54079.004,45550.98,1.00:0.36:0.30,79479,"synthase G GlcB|732 AA"
1451,true,"MMAR_3019|MMAR_3019|conserved",6.81,13.21,10,7,"Carbamidomethylation; Deamidation (NQ); Oxidation (M)",3336.5422,3568.236,3494.8667,3329.1816,3325.9805,3102.1565,3170.2239,933.0363,2538.3923,1.00:1.07:1.05:1.00:1.00:0.93:0.95:0.28:0.76,3466.5483,3252.4395,2213.8843,1.00:0.94:0.64,72805,"hypothetical protein|667 AA"
3066,true,"MMAR_4519|rimJ|ribosomal-protein-alanine",23.17,7.83,1,1,"",248.02304,160.81728,477.82407,130.43211,152.85661,132.04582,74.55408,53.412773,51.014206,1.00:0.65:1.93:0.53:0.62:0.53:0.30:0.22:0.21,295.5548,138.44485,59.66035,1.00:0.47:0.20,23779,"acetyltransferase RimJ|218 AA"
2255,true,"MMAR_2295|MMAR_2295|conserved",14.35,37.29,2,2,"Carbamidomethylation; Deamidation (NQ)",961.74536,3257.1458,3432.7415,1459.5054,912.48755,1785.8625,407.09064,120.3266,712.55664,1.00:3.39:3.57:1.52:0.95:1.86:0.42:0.13:0.74,2550.5442,1385.9518,413.32465,1.00:0.54:0.16,12230,"membrane protein|119 AA"
2356,true,"MMAR_5354|MMAR_5354|conserved",16.35,5.66,4,3,"Oxidation (M)",1450.6802,483.6999,615.76636,478.09363,553.034,429.07477,1639.334,2481.6987,1197.9868,1.00:0.33:0.42:0.33:0.38:0.30:1.13:1.71:0.83,850.0488,486.73413,1773.0066,1.00:0.57:2.09,70193,"hypothetical transmembrane protein|655 AA"
863,true,"MMAR_1498|fadB4|NADPH",36.60,40.87,14,10,"Carbamidomethylation; Deamidation (NQ)",8271.596,8279.23,8195.967,10264.242,9084.693,9116.526,12934.942,11715.702,11974.782,1.00:1.00:0.99:1.24:1.10:1.10:1.56:1.42:1.45,8248.931,9488.487,12208.476,1.00:1.15:1.48,33341,"quinone oxidoreductase FadB4|324 AA"
2344,true,"MMAR_2894|MMAR_2894|PE",26.75,11.74,2,2,"Oxidation (M)",2353.7224,1940.7966,2172.0217,915.2053,898.1593,901.03906,0.0,278.39124,79.59865,1.00:0.82:0.92:0.39:0.38:0.38:0.00:0.12:0.03,2155.5137,904.8012,178.99493,1.00:0.42:0.08,22113,"family protein|231 AA"
2629,true,"MMAR_1672|MMAR_1672|tryptophan-rich",26.43,15.09,4,2,"",5517.5815,6036.256,4446.1567,3752.0627,3641.9048,4524.4863,9601.0205,6988.2646,9087.383,1.00:1.09:0.81:0.68:0.66:0.82:1.74:1.27:1.65,5333.331,3972.8179,8558.89,1.00:0.74:1.60,17084,"sensory protein|160 AA"
1440,true,"MMAR_3576|MMAR_3576|conserved",35.65,47.13,8,7,"Carbamidomethylation; Deamidation (NQ); Oxidation (M)",7963.386,7594.403,6949.1226,3750.1216,2699.4775,3807.6194,2820.087,3272.616,2667.0718,1.00:0.95:0.87:0.47:0.34:0.48:0.35:0.41:0.33,7502.3037,3419.0728,2919.9248,1.00:0.46:0.39,27745,"hypothetical protein|262 AA"
1516,true,"MMAR_3695|mbtD|polyketide",22.19,9.08,7,6,"Carbamidomethylation; Oxidation (M)",2868.608,4715.275,2828.7725,5901.362,4395.597,5784.3423,60.508366,867.10034,252.06494,1.00:1.64:0.99:2.06:1.53:2.02:0.02:0.30:0.09,3470.8853,5360.4336,487.477,1.00:1.54:0.14,108870,"synthase MbtD |1025 AA"
2241,true,"MMAR_3573|MMAR_3573|hypothetical",15.26,12.42,7,3,"Carbamidomethylation; Deamidation (NQ)",777.08575,3880.12,4106.7524,779.0983,600.12305,652.2906,363.955,588.1284,442.517,1.00:4.99:5.28:1.00:0.77:0.84:0.47:0.76:0.57,2921.3193,677.17065,464.8668,1.00:0.23:0.16,32709,"protein|315 AA"
1722,true,"MMAR_2166|MMAR_2166|proline",18.71,9.02,2,2,"Deamidation (NQ)",4928.1772,4862.4883,4608.936,469.01547,514.3981,4811.93,204.38773,465.20068,137.44289,1.00:0.99:0.94:0.10:0.10:0.98:0.04:0.09:0.03,4799.867,1931.7812,269.01044,1.00:0.40:0.06,38421,"and glycine rich transmembrane protein|378 AA"
406,true,"MMAR_0973|rplK|50S",67.36,71.13,20,14,"Carbamidomethylation; Deamidation (NQ); Oxidation (M)",216957.19,212895.42,218426.77,126495.49,120814.125,130069.72,66696.086,58603.21,59033.918,1.00:0.98:1.01:0.58:0.56:0.60:0.31:0.27:0.27,216093.12,125793.11,61444.406,1.00:0.58:0.28,14947,"ribosomal protein L11, RplK|143 AA"
2148,true,"MMAR_0292|rpmB2|50S",8.14,39.74,4,3,"",2176.6821,1206.1685,950.0595,815.7044,774.82086,595.1337,2142.145,984.1645,972.2612,1.00:0.55:0.44:0.37:0.36:0.27:0.98:0.45:0.45,1444.3033,728.553,1366.1902,1.00:0.50:0.95,8993,"ribosomal protein L28 RpmB2|79 AA"
2457,true,"MMAR_2342|MMAR_2342|conserved",4.13,2.06,3,2,"Deamidation (NQ)",1834.7974,1945.0078,1970.33,2154.6538,763.6222,322.49008,2106.2563,530.0079,1877.738,1.00:1.06:1.07:1.17:0.42:0.18:1.15:0.29:1.02,1916.7117,1080.2554,1504.6675,1.00:0.56:0.79,151514,"transmembrane transport protein, MmpL family|1458 AA"
1390,true,"MMAR_1341|MMAR_1341|acetyltransferase|161",7.84,46.25,9,6,"Carbamidomethylation; Deamidation (NQ); Pyro-glu from Q",8539.041,9107.282,8938.648,11434.747,11138.721,11385.266,23941.016,8247.074,25070.69,1.00:1.07:1.05:1.34:1.30:1.33:2.80:0.97:2.94,8861.657,11319.578,19086.26,1.00:1.28:2.15,17804,"AA"
303,true,"MMAR_3037|cobN|cobalamin",34.14,31.01,35,24,"Carbamidomethylation; Deamidation (NQ); Oxidation (M)",12813.656,13035.508,12741.956,13469.345,11759.62,12916.432,7099.0273,5294.7056,7265.5337,1.00:1.02:0.99:1.05:0.92:1.01:0.55:0.41:0.57,12863.707,12715.133,6592.3657,1.00:0.99:0.51,128427,"biosynthesis protein, CobN|1191 AA"
2499,true,"MMAR_1741|MMAR_1741|conserved",6.48,4.96,2,2,"",745.94904,387.838,274.3829,615.85815,567.55304,450.61218,394.01685,265.23038,310.95563,1.00:0.52:0.37:0.83:0.76:0.60:0.53:0.36:0.42,469.38998,544.67444,323.40094,1.00:1.16:0.69,56449,"hypothetical alanine rich membrane protein|565 AA"
649,true,"MMAR_0456|MMAR_0456|conserved",12.64,42.39,23,11,"Acetylation (Protein N-term); Carbamidomethylation; Deamidation (NQ); Oxidation (M); Pyro-glu from Q",12571.889,20169.97,12592.335,21287.877,19384.205,11592.736,6883.5703,4898.0996,11563.804,1.00:1.60:1.00:1.69:1.54:0.92:0.55:0.39:0.92,15111.397,17421.607,7781.8247,1.00:1.15:0.51,35567,"protein|336 AA"
169,true,"MMAR_1001|MMAR_1001|acyl-CoA",56.19,69.74,43,27,"Carbamidomethylation; Deamidation (NQ); Oxidation (M); Pyro-glu from E; Pyro-glu from Q",38956.453,36976.184,38228.477,23117.066,23203.73,20952.143,5991.1553,5649.221,4143.347,1.00:0.95:0.98:0.59:0.60:0.54:0.15:0.15:0.11,38053.703,22424.312,5261.241,1.00:0.59:0.14,58842,"dehydrogenase|543 AA"
2130,true,"MMAR_4530|rpmF|50S",12.88,42.11,8,4,"",49787.32,49184.68,47399.234,29097.928,24108.957,22100.604,249.34778,173.06494,24262.922,1.00:0.99:0.95:0.58:0.48:0.44:0.02:0.02:0.49,48790.414,25102.496,8228.444,1.00:0.51:0.17,6538,"ribosomal protein L32 RpmF|58 AA"
903,true,"MMAR_0984|amiD|amidase,",5.16,43.13,16,12,"Carbamidomethylation; Deamidation (NQ); Oxidation (M)",7797.3535,6214.5728,8422.405,8405.264,8640.751,7601.064,8415.833,6226.912,4327.3594,1.00:0.80:1.08:1.08:1.11:0.97:1.08:0.80:0.55,7478.1104,8215.693,6323.368,1.00:1.10:0.85,49811,"AmiD |467 AA"
1444,true,"MMAR_3656|plcB_5|membrane-associated",19.43,16.86,10,5,"Carbamidomethylation; Deamidation (NQ)",2436.0205,2552.9048,1597.3708,1639.9882,1858.6907,1761.5322,1097.2118,949.71124,519.7761,1.00:1.05:0.66:0.67:0.76:0.72:0.45:0.39:0.21,2195.4321,1753.4037,874.73846,1.00:0.80:0.40,55935,"phospholipase C 2 PlcB_5|517 AA"
1774,true,"MMAR_0552|MMAR_0552|conserved",11.74,14.53,4,4,"",818.6358,1062.7922,1099.6531,11402.567,1166.7305,10636.02,1126.0431,232.72484,1038.7634,1.00:1.30:1.34:13.93:1.43:12.99:1.38:0.28:1.27,993.6937,7735.106,842.2483,1.00:7.78:0.85,44694,"hypothetical membrane protein|407 AA"
2120,true,"MMAR_5040|MMAR_5040|CoA-transferase",51.23,7.19,2,2,"Carbamidomethylation",171.27286,849.3475,708.04285,627.1709,508.58215,561.1673,0.0,0.0,0.0,1.00:4.96:4.13:3.66:2.97:3.28:0.00:0.00:0.00,576.22107,565.64014,0.0,1.00:0.98:0.00,31637,"(alpha subunit)|293 AA"
775,true,"MMAR_5333|MMAR_5333|aminotransferase|399",16.73,36.68,19,13,"Carbamidomethylation; Deamidation (NQ)",9055.252,12566.423,7128.45,21458.328,16964.965,20885.203,13457.206,9907.0,16299.854,1.00:1.39:0.79:2.37:1.87:2.31:1.49:1.09:1.80,9583.375,19769.498,13221.354,1.00:2.06:1.38,42062,"AA"
2199,true,"MMAR_1558|MMAR_1558|conserved",3.90,9.55,5,2,"Carbamidomethylation; Oxidation (M)",1373.6462,512.7683,1513.2319,287.14267,1300.3733,261.26102,962.4744,862.162,424.4759,1.00:0.37:1.10:0.21:0.95:0.19:0.70:0.63:0.31,1133.2156,616.259,749.7041,1.00:0.54:0.66,35336,"hypothetical NADP-dependent oxidoreductase|336 AA"
1331,true,"MMAR_2096|snoP|glutamine",19.25,42.42,9,6,"Deamidation (NQ); Pyro-glu from Q",3205.9927,4808.0,3840.44,6489.2593,5368.114,6044.709,562.7573,2662.047,747.6983,1.00:1.50:1.20:2.02:1.67:1.89:0.18:0.83:0.23,3951.4775,5967.361,1324.1676,1.00:1.51:0.34,20961,"amidotransferase SnoP|199 AA"
2121,true,"MMAR_0641|MMAR_0641|PPE",9.48,0.54,1,1,"Deamidation (NQ)",12017.011,4044.4224,4004.8823,3599.065,3706.7903,3641.7524,2168.485,3599.2075,1963.3711,1.00:0.34:0.33:0.30:0.31:0.30:0.18:0.30:0.16,6688.772,3649.2026,2577.0212,1.00:0.55:0.39,237350,"family protein|2404 AA"
3379,true,"MMAR_2026|MMAR_2026|antibiotic-transport",10.10,8.03,1,1,"Oxidation (M)",205.14938,1163.0646,1185.1875,822.77295,505.0502,411.87366,155.94824,220.77652,195.4831,1.00:5.67:5.78:4.01:2.46:2.01:0.76:1.08:0.95,851.1338,579.8989,190.73595,1.00:0.68:0.22,32547,"ATP-binding protein ABC transporter|300 AA"
1086,true,"MMAR_2941|MMAR_2941|membrane-anchored",3.55,24.31,17,10,"Carbamidomethylation; Deamidation (NQ); Oxidation (M)",4801.918,1564.7075,2125.1133,1887.741,2117.975,2056.8257,1716.9272,1949.3047,1507.3302,1.00:0.33:0.44:0.39:0.44:0.43:0.36:0.41:0.31,2830.5796,2020.8472,1724.5208,1.00:0.71:0.61,69654,"serine/threonine-protein kinase |655 AA"
2313,true,"MMAR_4402|lpqV|lipoprotein",1.49,24.52,6,3,"Carbamidomethylation",861.0311,864.1558,938.1589,993.63153,793.99493,596.41895,495.02313,974.3225,865.646,1.00:1.00:1.09:1.15:0.92:0.69:0.57:1.13:1.01,887.782,794.68176,778.33057,1.00:0.90:0.88,16062,"LpqV|156 AA"
1611,true,"MMAR_0781|MMAR_0781|conserved",50.33,60.84,8,5,"Carbamidomethylation; Oxidation (M)",5626.995,5811.617,5645.2983,3760.862,2526.786,3914.192,378.3765,229.77797,394.34497,1.00:1.03:1.00:0.67:0.45:0.70:0.07:0.04:0.07,5694.6367,3400.6133,334.16647,1.00:0.60:0.06,17357,"hypothetical protein|167 AA"
